     2455431.806  20.0874
   2455431.76208  20.0856
   2455430.81065   20.047
   2455430.76632  20.0451
   2455429.77953  20.0026
   2455429.73642  20.0007
   2455428.78287  19.9574
    2455428.7397  19.9554
   2455427.75977  19.9087
   2455427.71628  19.9066
   2455426.97087  19.8696
   2455425.99589  19.8196
   2455425.94627   19.817
     2455424.954  19.7642
    2455424.9102  19.7619
   2455423.94678  19.7096
   2455423.87985   19.706
    2455422.9276  19.6542
   2455422.88395  19.6519
   2455421.93208     19.6
    2455421.8881  19.5976
    2455420.9283  19.5452
   2455420.88546  19.5428
   2455419.92064    19.49
   2455419.87686  19.4876
   2455418.92285  19.4352
   2455418.87916  19.4328
   2455417.90563   19.379
   2455417.86167  19.3766
   2455416.90924  19.3237
   2455416.86551  19.3213
   2455415.91339  19.2713
   2455415.86338  19.2689
   2455414.86964  19.2247
   2455414.81894  19.2227
   2455413.86604  19.1878
   2455413.82322  19.1864
   2455412.85682  19.1589
   2455412.77253  19.1568
   2455411.79424  19.1377
   2455411.75005   19.137
    2455410.7978  19.1283
   2455410.75405   19.128
   2455401.90655  19.0366
   2455401.86378  19.0361
   2455400.90969  19.0198
   2455400.86581  19.0188
   2455399.91253  18.9885
   2455399.86863  18.9869
   2455398.90681  18.9448
   2455398.86286  18.9427
    2455397.9113  18.8919
   2455397.86731  18.8894
   2455396.87558  18.8291
   2455396.82145  18.8258
   2455395.85959  18.7663
   2455395.80507  18.7629
    2455394.8519  18.7043
   2455394.80571  18.7015
   2455392.86767  18.5818
   2455392.81716  18.5787
   2455391.86556  18.5211
   2455391.81214   18.518
   2455390.85797  18.4677
   2455390.81366  18.4656
   2455389.98751  18.4303
   2455388.94647  18.3951
   2455388.90264  18.3938
   2455387.93632  18.3709
   2455387.89302  18.3701
   2455386.93476  18.3562
    2455386.8895  18.3558
   2455385.92623  18.3492
   2455385.88199  18.3491
   2455384.92341  18.3504
   2455384.87902  18.3506
   2455383.92608  18.3602
    2455383.8819  18.3608
   2455377.95299   18.558
   2455376.97216  18.6332
   2455376.92931   18.637
   2455375.95623  18.7328
   2455375.91212  18.7377
   2455374.95322  18.8555
   2455374.91002  18.8614
   2455373.91902  19.0037
   2455373.87558  19.0103
   2455372.92097  19.1619
   2455372.87671  19.1694
    2455371.9239  19.3432
   2455371.88049  19.3518
   2455370.92512  19.5607
   2455370.88113  19.5714
   2455369.91897  19.8379
   2455369.87424  19.8518
   2455368.97023  20.1642
    2455367.9166  20.6146
   2455367.87184  20.6362
